,Symbol,Cumulative returns
0,ADANIENT,12.24
1,ADANIPORTS,48.690000000000005
2,APOLLOHOSP,39.61
3,ASIANPAINT,-15.02
4,AXISBANK,19.32
5,BAJAJ-AUTO,61.48
6,BAJAJFINSV,4.259999999999998
7,BAJFINANCE,-7.770000000000002
8,BEL,83.12
9,BHARTIARTL,56.65
10,BPCL,53.86
11,BRITANNIA,12.089999999999998
12,CIPLA,24.93
13,COALINDIA,36.379999999999995
14,DRREDDY,14.85
15,EICHERMOT,45.28
16,GRASIM,36.2
17,HCLTECH,43.75
18,HDFCBANK,19.330000000000002
19,HDFCLIFE,13.29
20,HEROMOTOCO,47.52
21,HINDALCO,39.71
22,HINDUNILVR,0.8900000000000001
23,ICICIBANK,35.82
24,INDUSINDBK,-30.849999999999998
25,INFY,36.78
26,ITC,12.26
27,JSWSTEEL,33.620000000000005
28,KOTAKBANK,4.9
29,LT,25.910000000000004
30,M&M,77.91
31,MARUTI,10.41
32,NESTLEIND,-4.070000000000001
33,NTPC,50.529999999999994
34,ONGC,34.44
35,POWERGRID,56.54
36,RELIANCE,12.209999999999999
37,SBILIFE,13.62
38,SBIN,40.93
39,SHRIRAMFIN,46.45
40,SUNPHARMA,49.37
41,TATACONSUM,8.7
42,TATAMOTORS,27.47
43,TATASTEEL,24.810000000000002
44,TCS,26.619999999999997
45,TECHM,47.53
46,TITAN,6.840000000000002
47,TRENT,117.97
48,ULTRACEMCO,33.32
49,WIPRO,44.76
