,Symbol,Volatility
0,SBIN,1.83
1,BAJFINANCE,1.6
2,TITAN,1.43
3,ITC,1.22
4,TCS,1.33
5,LT,1.73
6,TATACONSUM,1.51
7,RELIANCE,1.38
8,HCLTECH,1.44
9,JSWSTEEL,1.66
10,ULTRACEMCO,1.44
11,POWERGRID,1.92
12,INFY,1.46
13,TRENT,2.35
14,BHARTIARTL,1.38
15,TATAMOTORS,1.79
16,WIPRO,1.77
17,TECHM,1.63
18,NTPC,1.99
19,HINDUNILVR,1.23
20,APOLLOHOSP,1.44
21,M&M,1.95
22,GRASIM,1.46
23,ICICIBANK,1.31
24,ADANIENT,2.92
25,ADANIPORTS,2.66
26,BEL,2.38
27,BAJAJFINSV,1.39
28,EICHERMOT,1.64
29,COALINDIA,2.17
30,MARUTI,1.39
31,INDUSINDBK,1.94
32,ASIANPAINT,1.28
33,TATASTEEL,1.86
34,HDFCLIFE,1.48
35,DRREDDY,1.26
36,SUNPHARMA,1.17
37,KOTAKBANK,1.44
38,SHRIRAMFIN,2.15
39,NESTLEIND,1.22
40,ONGC,2.29
41,CIPLA,1.65
42,BPCL,2.25
43,BRITANNIA,1.34
44,SBILIFE,1.52
45,HINDALCO,2.01
46,HEROMOTOCO,1.66
47,AXISBANK,1.56
48,HDFCBANK,1.38
49,BAJAJ-AUTO,1.75
